calID,spnumber,taxstat,family,species,star,horim_page,horim_end,star_geo,star_geod,star_geou,star_infa,star_infs,quartergrid,1grid,horimgrid,mgr_ocan,mgr_mainisl,mgr_smallisl,mgr_totalland,mgr_totalarea,qgr_mainisl,qgr_smallisl,qgr_totalland,1gr_mainisl,1gr_smallisl,1gr_totalland,infra
10558,10558,acc,Berberidaceae,Nandina domestica Thunb.,GN,81,,GN,GN,GN,GN,GN,77,31,136,6087.111474,51637.70981,222.8788666,51860.58868,57947.70015,142655.365,1859.681926,144515.047,180502.5113,3711.854226,184214.3656,
10577,10577,acc,Berberidaceae,Diphylleia grayi F. Schmidt,GN,566,,GN,GN,GN,GN,GN,66,37,123,2392.813021,46512.34659,0.8967116,46513.2433,48906.05632,128909.8152,57.08817571,128966.9033,229828.4683,582.8831958,230411.3515,
10578,10578,acc,Lardizabalaceae,Stauntonia hexaphylla (Thunb.) Decne.,GN,80,,GN,GN,GN,GN,GN,140,60,373,70164.16287,83068.88698,7230.972614,90299.85959,160464.0225,152769.1769,9280.107589,162049.2845,197178.7295,9798.52599,206977.2554,
10579,10579,acc,Lardizabalaceae,Akebia quinata (Houtt.) Decne.,GN,78,,GN,GN,GN,GN,GN,168,58,648,67851.47757,200244.0184,5303.205195,205547.2236,273398.7012,252814.1101,6328.952481,259143.0625,279722.3131,6602.221732,286324.5348,
10580,10580,acc,Lardizabalaceae,Akebia trifoliata (Thunb.) Koidz.,GN,79,,GN,GN,GN,GN,GN,176,59,662,60899.47027,213816.6669,2763.309146,216579.976,277479.4463,276637.0454,4622.950285,281259.9957,297642.2411,5314.479388,302956.7204,
10584,10584,acc,Menispermaceae,Stephania japonica (Thunb.) Miers,GN,84,,GN,GN,GN,GN,GN,102,46,236,64514.99443,32186.32091,6430.984777,38617.30569,103132.3001,79646.69191,9185.181107,88831.87302,107048.3427,9612.880089,116661.2228,
10592,10592,acc,Menispermaceae,Cocculus trilobus (Thunb.) DC.,GN,83,,GN,GN,GN,GN,GN,214,82,739,107066.821,197775.8057,8314.642003,206090.4477,313157.2687,258226.4164,10617.51736,268843.9338,286290.9758,11281.67483,297572.6506,
10594,10594,acc,Menispermaceae,Cocculus laurifolius DC.,GN,82,,GN,GN,GN,GN,GN,30,21,57,19173.94001,3039.499687,3263.965001,6303.464688,25477.4047,9338.66939,5520.772475,14859.44186,25735.33263,6317.710165,32053.04279,
10609,10609,acc,Nymphaeaceae,Euryale ferox Salisb.,GN,554,,GN,GN,GN,GN,GN,39,25,65,5353.348036,21741.80674,319.0188879,22060.82563,27414.17366,68792.31114,1536.759987,70329.07113,159996.9321,3529.411779,163526.3439,
10614,10614,acc,Saururaceae,Houttuynia cordata Thunb.,GN,509,,GN,GN,GN,GN,GN,196,71,631,66460.87585,193398.5344,4896.189447,198294.7238,264755.5997,280711.8685,7347.819705,288059.6882,297401.0866,7874.722337,305275.809,
10617,10617,acc,Piperaceae,Piper kadsura (Choisy) Ohwi,GN,27,,GN,GN,GN,GN,GN,113,54,288,76649.13896,41751.11837,7480.504427,49231.6228,125880.7618,85530.83483,8985.874849,94516.70968,126388.2446,10008.39792,136396.6425,
